item_id,item,status,planned_value,confirmed_value,unit,required_input,owner_role,acceptance_criterion,held_work,evidence_ref,evidence_sha256,verified_by,verified_at,notes
D4-01,재료·배합,입력 대기,동일 배합 PC/CNT,,,"수지/CNT 등급, 함량과 단위, 원료 로트, 건조·혼련 절차, 가용량",소재·실행,"동일 배합 정의와 투입→혼련 배치 연결, 필요한 수량 확보를 자료로 확인",실제 재료 투입·동일 배합 주장,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-02,제조 장비·프로파일,입력 대기,같은 사출기·금형과 공통 기준축·단계 경계,,,"사출기 모델, 금형/도면, 지원 기준축·단계 경계, 설정과 실제 이력 기록 방법",실행,공통 프로파일에서 배율만 바꾸는 D1 구현 가능 여부와 기록 가능한 항목 확인,제조 지시서 확정,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-03,제조 수치·실행 경계,입력 대기,공통 속도 프로파일의 낮음/높음 배율 비교; 수치 미정,,,"두 배율, 공통 온도·전환·보압·냉각 설정, 안정화·잔류·채취 기준",실행·소재,"두 조건과 공통 조건의 수치·단위·허용 이탈을 사전 명세, 독립 실행의 시작/종료를 설명",제조 작업 착수,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-04,시편 형상·채취,입력 대기,길이 x·폭 y·두께 z; 게이트·유동과 x의 관계는 별도 확인,,,"도면, 게이트·유동·채취 방향, 폭·두께와 측정 위치, 표면층 정보",소재·방법,좌표와 실제 치수 기록 방법을 연결하고 도전 단면에 적용할 수 있는 범위 확인,단면 적용·전도도 환산,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-05,측정 장비·기록 능력,입력 대기,수동 장비 운전과 CSV·원자료 파일 전달,,,"전도도 측정기 모델·단자·범위·제한, 치수 도구, 확인/교정 기록, 원시 데이터 출력 예",실행·방법,지정 구성을 구현하고 필요한 I·V·시간·극성·제한 상태를 실제로 기록 가능한지 확인,실제 측정 착수,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-06,접점과 부착 절차,입력 대기,PILOT-EC-LAYOUT-v2: 끝면 전류·윗면 두 전압 띠,,,"접촉 재료, 고정/부착법, 피복·경계·번짐 기록, 접촉 회차 부여 방법",실행·소재,계획한 면과 띠를 구현·기록할 수 있고 변경 시 재검토·재접촉 이력을 보존,배치 확정·정량 측정,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-07,환산 모델·거리,입력 대기,Lv_geom과 Lv_eff 구분; 모델과 오차 근거 없이는 환산 보류,,,"실제 형상에 맞는 전류/전위 모델, Lv_eff 채택 근거, 단면·이방성·접촉 영향과 오차 평가",방법·소재,실제 조건에 맞는 모델과 허용 오차 근거 확인. 중심 거리 근사도 근거가 있으면 허용,전도도 환산·정량 비교,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-08,구동·품질 기준,입력 대기,선형성·안정성·극성·기기 제한·불확실성 기준 사전 확정; 수치 미정,,,"전류/전압 범위, 극성·대기·측정 순서, 선형성·안정성·기기 제한·불확실성 기준과 점검 계획",방법·실행,구동과 허용 기준을 사전 확정하고 필요한 착수 전 점검을 통과. 각 실제 시도의 기준 충족 여부는 이후 별도 확인,측정 착수·시도별 정량 사용,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-09,판정 목적·분석 조건,입력 대기,제조 실행 대표 log10 전도도의 대응 블록 차이; 목적/경계/적용 조건 확인 필요,,,"의미 있는 비율 R*, 목표 정밀도, 구간법 전제, 결측/검열 처리, 적용 모집단",방법,응용 근거와 로그 척도 경계 연결. 확증 또는 탐색 목적을 사전 명세하고 적용 불가 시 처리 규칙 확정,의미 차이 판정,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-10,반복 수·배정,입력 대기,대응 블록·독립 제조 실행; 수량·시드·재시도 한계 미정,,,"변동 근거, 독립 블록/실행당 시편 수, 순서·시드, 탈락 예상, 재시도 수와 자원 한계",방법·실행,"반복 단위·정밀도·가용 자원의 일치 확인, 제조와 측정 반복 구분, 실행 전 수량·중단 규칙 고정",본 실험 수량·배정 발행,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-11,CSV·첨부 전달,검토 대기,CSV v2; task/specimen/attempt 조건과 원시 파일·해시 연결; 첨부는 수동 검토,,,"계획/방법 버전, 작업·시편·시도별 조건 목록, 원시 파일/해시, layout_manifest 구성과 전달 담당",실행·개발,CSV 구조 검사와 별도로 첨부의 존재·해시·조건 완전성·방법 연결을 검토,구조 통과만으로 과학적 사용,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-12,현장 운영,입력 대기,현장 수동 실행; 작업자·자원·권한 미정,,,"작업자·검토자, 예약·일정·예산, 사용 SOP, 필요한 현장 권한, 중단·복구·보관 책임",실행·조정자,실제 수행 가능성과 담당·자원·권한을 증거로 확인,실제 착수·인계,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-13,연구 범위·남은 쟁점,검토 대기,현재 전도도 비교를 원래 H1/H2/H3 전체 검증으로 확대하지 않음,,,현재 가설·최종 검토에 연결한 문제별 유지/보류/범위 변경/실험 질문 처리안,조정자·해당 검토자,현재 전도도 비교와 원래 H1/H2/H3의 범위를 구분해 검토. 기존 문제를 확인 없이 해소하지 않음,M1 최종 완료 판단,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
D4-14,정식 준비·인계 조건,검토 대기,준비 증거→별도 담당 검증→최종 조건→인계·수신 확인,,,"준비 증거·별도 담당 검증, 현재 결정 참조, 자원/원장 점검, 수신 담당·수락 조건",조정자·검증·수신 담당,[준비·인계 절차](../../guides/m1-preparation-handoff.md)의 실제 조건을 충족,정식 M1 완료·M2 인계,,,,,착수 입력용 작업표. 실제값·증거·검증자는 미입력. 정식 준비 상태를 변경하지 않음.
